Customer ID,Age,Gender,Item Purchased,Purchase Amount (AUD),Review Rating,Payment Method,Previous Purchases,Flavour
29,54,Male,G Active-No Sugar,7.8,4.4,Debit Card,41,Berry
30,31,Male,Gatorade Sports Drink,3.8,4.1,Venmo,14,Tropical
31,57,Male,Gatorade Sports Drink,3.8,4.7,Bank Transfer,16,Berry
32,33,Male,Gatorade Powder,14.8,4.7,Venmo,45,Blue Bolt
33,36,Male,G Active-No Sugar,7.8,4.9,Bank Transfer,37,Lemon-Lime
34,54,Male,G Active-No Sugar,7.8,3.3,Venmo,45,Lemon-Lime
35,36,Male,Gatorade Powder,14.8,4.6,Debit Card,38,Berry
36,54,Male,Gatorade Powder,14.8,4,Bank Transfer,48,Blue Bolt
37,35,Male,Gatorade Powder,14.8,4.6,Cash,44,Orange
38,35,Male,Gatorade No Sugar,4.8,2.8,Debit Card,10,Tropical
39,29,Male,Gatorade Sports Drink,3.8,3.7,Debit Card,44,Grape
40,70,Male,Gatorade Powder,14.8,4.2,Bank Transfer,18,Blue Bolt
41,69,Male,Gatorade Powder,14.8,4.6,PayPal,31,Tropical
42,67,Male,G Active-No Sugar,7.8,4.5,Cash,40,Lemon-Lime
43,20,Male,G Active-No Sugar,7.8,4.1,Bank Transfer,15,Grape
44,25,Male,Gatorade Sports Drink,3.8,3.7,PayPal,19,Lemon-Lime
45,39,Male,Gatorade Sports Drink,3.8,4.6,Bank Transfer,45,Berry
46,50,Male,Gatorade No Sugar,4.8,2.9,Venmo,25,Berry
47,57,Male,Gatorade Sports Drink,3.8,2.9,Venmo,45,Berry
48,55,Male,G Active-No Sugar,7.8,4.5,Debit Card,36,Grape
49,42,Male,Gatorade Powder,14.8,2.7,Debit Card,38,Lemon-Lime
50,68,Male,Gatorade No Sugar,4.8,4.6,Bank Transfer,34,Lemon-Lime
51,49,Male,Gatorade No Sugar,4.8,3.7,Cash,39,Grape
52,59,Male,Gatorade No Sugar,4.8,4.7,PayPal,7,Lemon-Lime
53,42,Male,Gatorade Sports Drink,3.8,2.6,Credit Card,26,Grape
54,29,Male,Gatorade Powder,14.8,3.9,Debit Card,35,Grape
55,47,Male,Gatorade Powder,14.8,4.2,Bank Transfer,35,Grape
56,40,Male,Gatorade No Sugar,4.8,3,Venmo,49,Blue Bolt
57,41,Male,G Active-No Sugar,7.8,4.7,PayPal,46,Blue Bolt
58,21,Male,Gatorade Sports Drink,3.8,4.4,PayPal,17,Orange
59,69,Male,Gatorade Sports Drink,3.8,4.2,Credit Card,29,Orange
60,63,Male,Gatorade Powder,14.8,4.6,Debit Card,4,Tropical
61,50,Male,Gatorade Powder,14.8,4,Credit Card,17,Tropical
62,55,Male,Gatorade Powder,14.8,4.7,Bank Transfer,21,Grape
63,30,Male,Gatorade Sports Drink,3.8,3.8,Credit Card,31,Blue Bolt
64,33,Male,G Active-No Sugar,7.8,2.7,Credit Card,43,Blue Bolt
65,65,Male,G Active-No Sugar,7.8,4.8,PayPal,18,Grape
66,65,Male,G Active-No Sugar,7.8,4.8,Credit Card,44,Grape
67,31,Male,Gatorade Sports Drink,3.8,4.7,Bank Transfer,3,Lemon-Lime
68,45,Male,Gatorade Sports Drink,3.8,4.4,PayPal,49,Orange
69,57,Male,G Active-No Sugar,7.8,3.9,Credit Card,21,Lemon-Lime
70,48,Male,Gatorade No Sugar,4.8,4.4,Credit Card,5,Grape
71,22,Male,Gatorade No Sugar,4.8,4.2,Credit Card,32,Grape
72,36,Male,Gatorade Sports Drink,3.8,2.9,Debit Card,34,Orange
73,18,Male,G Active-No Sugar,7.8,2.9,Debit Card,21,Lemon-Lime
74,48,Male,Gatorade Sports Drink,3.8,2.7,Debit Card,43,Lemon-Lime
75,49,Male,Gatorade Sports Drink,3.8,4.5,PayPal,3,Orange
76,64,Male,Gatorade Powder,14.8,2.7,Debit Card,21,Berry
77,50,Male,Gatorade Powder,14.8,4.2,Bank Transfer,32,Lemon-Lime
78,22,Male,Gatorade No Sugar,4.8,3.3,Debit Card,36,Berry
79,50,Male,Gatorade Powder,14.8,4.7,Venmo,50,Berry
80,38,Male,G Active-No Sugar,7.8,2.6,Bank Transfer,43,Berry
81,19,Male,Gatorade No Sugar,4.8,3.3,Credit Card,24,Berry
82,67,Male,Gatorade Powder,14.8,2.6,PayPal,36,Grape
83,19,Male,Gatorade Sports Drink,3.8,4,Bank Transfer,21,Grape
84,36,Male,Gatorade No Sugar,4.8,4.1,Debit Card,34,Blue Bolt
85,52,Male,Gatorade Powder,14.8,4.4,Cash,42,Orange
86,53,Male,Gatorade No Sugar,4.8,4.5,Credit Card,2,Grape
87,24,Male,Gatorade Powder,14.8,3.7,Venmo,47,Grape
88,52,Male,Gatorade Powder,14.8,3.7,Debit Card,44,Tropical
89,33,Male,G Active-No Sugar,7.8,3.5,Credit Card,35,Grape
90,47,Male,Gatorade Sports Drink,3.8,3.6,Bank Transfer,15,Berry
91,25,Male,Gatorade Powder,14.8,2.9,Venmo,29,Grape
92,44,Male,Gatorade No Sugar,4.8,4.6,PayPal,18,Lemon-Lime
93,61,Male,Gatorade No Sugar,4.8,4.4,Cash,13,Lemon-Lime
94,37,Male,Gatorade Powder,14.8,4.5,PayPal,46,Tropical
95,58,Male,Gatorade No Sugar,4.8,4.6,Bank Transfer,28,Berry
96,37,Male,G Active-No Sugar,7.8,3.8,PayPal,48,Lemon-Lime
97,32,Male,Gatorade Powder,14.8,3.6,Venmo,43,Lemon-Lime
98,21,Male,Gatorade No Sugar,4.8,4.8,PayPal,37,Tropical
99,20,Male,Gatorade Powder,14.8,2.6,Cash,20,Lemon-Lime
100,26,Male,Gatorade No Sugar,4.8,3.7,Cash,33,Grape
101,62,Male,G Active-No Sugar,7.8,2.7,PayPal,31,Orange
102,27,Male,Gatorade Sports Drink,3.8,4.6,Venmo,50,Lemon-Lime
103,51,Male,Gatorade No Sugar,4.8,4.8,Credit Card,35,Berry
104,54,Male,Gatorade No Sugar,4.8,4,Debit Card,22,Lemon-Lime
105,55,Male,Gatorade Sports Drink,3.8,4.4,Bank Transfer,1,Lemon-Lime
106,69,Male,Gatorade No Sugar,4.8,3.6,Bank Transfer,4,Orange
107,64,Male,G Active-No Sugar,7.8,3.7,Cash,31,Tropical
108,28,Male,Gatorade Sports Drink,3.8,3.1,Cash,46,Grape
109,70,Male,Gatorade Sports Drink,3.8,3.4,Bank Transfer,32,Blue Bolt
110,58,Male,G Active-No Sugar,7.8,2.6,Cash,43,Lemon-Lime
111,56,Male,Gatorade Powder,14.8,4,Bank Transfer,26,Tropical
112,26,Male,Gatorade Powder,14.8,5,PayPal,9,Blue Bolt
113,37,Male,Gatorade Sports Drink,3.8,4.3,Credit Card,28,Orange
114,44,Male,G Active-No Sugar,7.8,3.1,Debit Card,20,Berry
115,70,Male,Gatorade Sports Drink,3.8,3.7,Venmo,9,Orange
116,53,Male,Gatorade No Sugar,4.8,3.8,Cash,48,Blue Bolt
117,55,Male,Gatorade No Sugar,4.8,3.4,PayPal,12,Blue Bolt
118,50,Male,Gatorade No Sugar,4.8,4.6,Bank Transfer,29,Blue Bolt
119,50,Male,Gatorade No Sugar,4.8,4.8,Bank Transfer,27,Tropical
120,38,Male,Gatorade Sports Drink,3.8,4.3,Debit Card,44,Grape
121,64,Male,Gatorade Powder,14.8,4,PayPal,32,Blue Bolt
122,19,Male,G Active-No Sugar,7.8,4.2,Cash,11,Berry
123,40,Male,G Active-No Sugar,7.8,4.8,Credit Card,44,Tropical
124,57,Male,Gatorade Sports Drink,3.8,3.1,Debit Card,46,Berry
125,44,Male,Gatorade Powder,14.8,3.1,PayPal,50,Orange
126,49,Male,Gatorade Powder,14.8,3.6,Cash,45,Lemon-Lime
127,43,Male,Gatorade No Sugar,4.8,3.9,Bank Transfer,48,Blue Bolt
128,24,Male,Gatorade Powder,14.8,4.8,Venmo,26,Tropical
129,20,Male,G Active-No Sugar,7.8,4.7,Venmo,21,Grape
130,24,Male,Gatorade Sports Drink,3.8,4.2,Cash,49,Blue Bolt
131,44,Male,Gatorade Sports Drink,3.8,3.7,Credit Card,13,Blue Bolt
132,28,Male,Gatorade No Sugar,4.8,3.9,PayPal,46,Lemon-Lime
133,30,Male,Gatorade Powder,14.8,4.7,Bank Transfer,42,Tropical
134,52,Male,Gatorade Powder,14.8,2.5,Bank Transfer,25,Blue Bolt
135,43,Male,Gatorade Powder,14.8,4.9,Credit Card,25,Tropical
136,43,Male,G Active-No Sugar,7.8,4.1,PayPal,12,Lemon-Lime
137,39,Male,Gatorade No Sugar,4.8,3.3,Credit Card,4,Orange
138,68,Male,Gatorade No Sugar,4.8,4.7,Cash,38,Grape
139,68,Male,Gatorade No Sugar,4.8,4.4,Cash,42,Tropical
140,49,Male,G Active-No Sugar,7.8,3.8,Debit Card,30,Grape
141,63,Male,G Active-No Sugar,7.8,3.9,Bank Transfer,50,Orange
142,56,Male,Gatorade Sports Drink,3.8,4.9,PayPal,45,Grape
143,37,Male,Gatorade No Sugar,4.8,3.1,PayPal,33,Orange
144,30,Male,Gatorade No Sugar,4.8,2.7,Bank Transfer,25,Blue Bolt
145,19,Male,G Active-No Sugar,7.8,3.2,Credit Card,25,Blue Bolt
146,24,Male,Gatorade No Sugar,4.8,4.5,Venmo,44,Lemon-Lime
147,52,Male,Gatorade Sports Drink,3.8,4,Debit Card,21,Grape
148,63,Male,Gatorade Powder,14.8,3.5,Bank Transfer,31,Blue Bolt
149,37,Male,Gatorade No Sugar,4.8,2.6,PayPal,47,Orange
150,38,Male,Gatorade No Sugar,4.8,3.2,Venmo,14,Berry
151,35,Male,Gatorade Sports Drink,3.8,4.9,Bank Transfer,17,Berry
152,28,Male,Gatorade Powder,14.8,4.5,Debit Card,3,Tropical
153,30,Male,Gatorade Powder,14.8,4.3,PayPal,42,Berry
154,69,Male,G Active-No Sugar,7.8,3.2,Debit Card,22,Orange
155,41,Male,Gatorade Powder,14.8,3.6,Debit Card,21,Tropical
156,63,Male,Gatorade Sports Drink,3.8,4.3,Cash,21,Grape
157,35,Male,Gatorade Powder,14.8,4,Venmo,40,Tropical
158,36,Male,Gatorade Powder,14.8,3,Debit Card,1,Orange
159,25,Male,Gatorade Powder,14.8,4.1,Bank Transfer,50,Blue Bolt
160,58,Male,Gatorade Sports Drink,3.8,3.8,Debit Card,39,Grape
161,27,Male,Gatorade Sports Drink,3.8,4.6,Bank Transfer,34,Berry
162,65,Male,G Active-No Sugar,7.8,3,Venmo,29,Berry
163,54,Male,Gatorade Sports Drink,3.8,3,Credit Card,31,Lemon-Lime
164,54,Male,Gatorade Powder,14.8,3.4,PayPal,8,Lemon-Lime
165,59,Male,G Active-No Sugar,7.8,2.6,Debit Card,5,Berry
166,42,Male,Gatorade Sports Drink,3.8,2.8,Credit Card,7,Orange
167,46,Male,G Active-No Sugar,7.8,4,Cash,30,Blue Bolt
168,33,Male,Gatorade Sports Drink,3.8,4,Venmo,14,Blue Bolt
169,34,Male,Gatorade Powder,14.8,3,Bank Transfer,5,Tropical
170,27,Male,G Active-No Sugar,7.8,3.3,Credit Card,3,Orange
171,52,Male,G Active-No Sugar,7.8,2.6,Venmo,46,Orange
172,29,Male,Gatorade Sports Drink,3.8,3.6,Debit Card,4,Berry
173,54,Male,Gatorade Powder,14.8,3.9,Bank Transfer,42,Orange
174,25,Male,Gatorade No Sugar,4.8,3.4,PayPal,30,Tropical
175,41,Male,G Active-No Sugar,7.8,3.5,Venmo,37,Tropical
176,53,Male,G Active-No Sugar,7.8,2.8,Debit Card,2,Tropical
177,53,Male,Gatorade Sports Drink,3.8,2.7,Bank Transfer,30,Tropical
178,21,Male,Gatorade Sports Drink,3.8,3.7,Debit Card,47,Lemon-Lime
179,61,Male,Gatorade Sports Drink,3.8,4.3,Debit Card,21,Orange
180,64,Male,Gatorade Powder,14.8,4.9,Debit Card,9,Blue Bolt
181,51,Male,Gatorade No Sugar,4.8,3.3,Cash,12,Grape
182,32,Male,G Active-No Sugar,7.8,4.7,Venmo,4,Lemon-Lime
183,38,Male,Gatorade Sports Drink,3.8,2.8,Venmo,10,Berry
184,58,Male,Gatorade No Sugar,4.8,3.6,Bank Transfer,26,Berry
185,32,Male,Gatorade Powder,14.8,3,Cash,40,Grape
186,46,Male,Gatorade No Sugar,4.8,4.5,Bank Transfer,34,Lemon-Lime
187,39,Male,Gatorade Powder,14.8,2.9,Debit Card,31,Tropical
188,19,Male,Gatorade Powder,14.8,3.3,Credit Card,1,Grape
189,50,Male,Gatorade No Sugar,4.8,3.1,Credit Card,5,Orange
190,36,Male,G Active-No Sugar,7.8,4.4,Venmo,4,Blue Bolt
191,65,Male,Gatorade Powder,14.8,3,Venmo,48,Grape
192,64,Male,G Active-No Sugar,7.8,3.9,Credit Card,29,Berry
193,46,Male,G Active-No Sugar,7.8,2.9,Venmo,12,Lemon-Lime
194,36,Male,Gatorade No Sugar,4.8,3,PayPal,29,Blue Bolt
195,51,Male,Gatorade Powder,14.8,3.1,Venmo,15,Berry
196,51,Male,G Active-No Sugar,7.8,4.3,Credit Card,34,Blue Bolt
197,38,Male,Gatorade No Sugar,4.8,3.9,Cash,41,Berry
198,59,Male,G Active-No Sugar,7.8,3.2,Debit Card,41,Blue Bolt
199,57,Male,Gatorade No Sugar,4.8,4.8,Cash,39,Grape
200,54,Male,Gatorade Powder,14.8,3.8,Debit Card,32,Tropical
201,25,Male,Gatorade No Sugar,4.8,3.3,PayPal,29,Tropical
202,69,Male,G Active-No Sugar,7.8,4.3,Bank Transfer,15,Grape
203,57,Male,G Active-No Sugar,7.8,2.7,Bank Transfer,33,Tropical
204,70,Male,G Active-No Sugar,7.8,3.2,PayPal,18,Orange
205,24,Male,Gatorade Powder,14.8,4,PayPal,35,Orange
206,67,Male,Gatorade No Sugar,4.8,3,Bank Transfer,25,Blue Bolt
207,24,Male,Gatorade Sports Drink,3.8,4.2,Venmo,6,Blue Bolt
208,62,Male,G Active-No Sugar,7.8,2.9,Venmo,17,Berry
209,57,Male,Gatorade No Sugar,4.8,4.1,Cash,17,Grape
210,55,Male,Gatorade No Sugar,4.8,3.2,Bank Transfer,44,Orange
211,45,Male,G Active-No Sugar,7.8,3,Venmo,6,Blue Bolt
212,69,Male,Gatorade Sports Drink,3.8,4.2,Venmo,45,Blue Bolt
213,67,Male,Gatorade Powder,14.8,4.2,Venmo,7,Blue Bolt
214,30,Male,G Active-No Sugar,7.8,4.4,Cash,11,Grape
215,24,Male,G Active-No Sugar,7.8,4.2,Cash,41,Berry
216,62,Male,G Active-No Sugar,7.8,2.8,Bank Transfer,24,Lemon-Lime
217,43,Male,Gatorade Powder,14.8,3.7,Cash,21,Tropical
218,35,Male,Gatorade Powder,14.8,3.5,Venmo,24,Tropical
219,28,Male,Gatorade No Sugar,4.8,2.9,Credit Card,8,Lemon-Lime
220,32,Male,Gatorade Powder,14.8,3,Venmo,12,Blue Bolt
221,39,Male,Gatorade Sports Drink,3.8,3.7,Debit Card,48,Berry
222,28,Male,Gatorade No Sugar,4.8,4.4,Debit Card,6,Lemon-Lime
223,47,Male,Gatorade No Sugar,4.8,4.5,Venmo,14,Lemon-Lime
224,20,Male,Gatorade No Sugar,4.8,4.8,Venmo,34,Orange
225,63,Male,G Active-No Sugar,7.8,2.9,PayPal,12,Orange
226,25,Male,G Active-No Sugar,7.8,3.2,Debit Card,11,Blue Bolt
227,29,Male,Gatorade Sports Drink,3.8,3.3,Cash,5,Berry
228,50,Male,Gatorade Powder,14.8,4.2,Venmo,25,Grape
229,18,Male,G Active-No Sugar,7.8,2.9,Credit Card,11,Blue Bolt
230,70,Male,Gatorade No Sugar,4.8,4.6,Cash,27,Orange
231,66,Male,Gatorade Powder,14.8,4.1,Venmo,43,Berry
232,28,Male,G Active-No Sugar,7.8,3.1,Bank Transfer,18,Lemon-Lime
233,54,Male,G Active-No Sugar,7.8,4.2,Bank Transfer,32,Grape
234,19,Male,Gatorade No Sugar,4.8,4.5,PayPal,27,Grape
235,20,Male,G Active-No Sugar,7.8,3.7,PayPal,24,Blue Bolt
236,43,Male,Gatorade No Sugar,4.8,3.7,Cash,31,Berry
237,38,Male,G Active-No Sugar,7.8,3.4,Debit Card,39,Berry
238,50,Male,G Active-No Sugar,7.8,3,Venmo,36,Blue Bolt
239,64,Male,Gatorade Powder,14.8,4.2,Debit Card,5,Orange
240,49,Male,Gatorade Sports Drink,3.8,2.9,PayPal,47,Lemon-Lime
241,47,Male,G Active-No Sugar,7.8,3.5,Credit Card,29,Grape
242,36,Male,Gatorade Powder,14.8,4.1,PayPal,43,Grape
243,55,Male,Gatorade Sports Drink,3.8,4.3,Credit Card,40,Tropical
244,25,Male,Gatorade Powder,14.8,2.8,Credit Card,4,Lemon-Lime
245,53,Male,Gatorade Sports Drink,3.8,4.9,Debit Card,39,Lemon-Lime
246,49,Male,Gatorade No Sugar,4.8,3.3,Cash,45,Grape
247,35,Male,Gatorade Sports Drink,3.8,3.2,Credit Card,20,Tropical
248,29,Male,G Active-No Sugar,7.8,4.4,Credit Card,14,Orange
249,47,Male,G Active-No Sugar,7.8,4.8,Venmo,33,Blue Bolt
250,53,Male,Gatorade Sports Drink,3.8,4.2,Cash,18,Lemon-Lime
251,33,Male,Gatorade Powder,14.8,4,Debit Card,9,Lemon-Lime
252,21,Male,Gatorade No Sugar,4.8,2.5,PayPal,34,Orange
253,32,Male,Gatorade Sports Drink,3.8,3.9,Cash,33,Tropical
254,52,Male,Gatorade Sports Drink,3.8,4.9,PayPal,15,Blue Bolt
255,67,Male,Gatorade Powder,14.8,3.5,Credit Card,4,Berry
256,43,Male,Gatorade No Sugar,4.8,4.2,Debit Card,25,Lemon-Lime
257,58,Male,Gatorade Sports Drink,3.8,4.7,Venmo,20,Blue Bolt
258,20,Male,Gatorade No Sugar,4.8,4.5,PayPal,5,Lemon-Lime
259,61,Male,Gatorade Sports Drink,3.8,2.8,Venmo,16,Lemon-Lime
260,32,Male,Gatorade No Sugar,4.8,2.9,Credit Card,13,Orange
261,38,Male,Gatorade Powder,14.8,3.2,Bank Transfer,11,Orange
262,21,Male,Gatorade No Sugar,4.8,4.9,Cash,21,Tropical
263,37,Male,Gatorade Powder,14.8,3.7,Cash,6,Berry
264,27,Male,Gatorade No Sugar,4.8,4.3,Credit Card,29,Berry
265,36,Male,Gatorade Sports Drink,3.8,3.9,Venmo,15,Grape
266,32,Male,Gatorade Powder,14.8,3.2,Venmo,17,Blue Bolt
267,51,Male,Gatorade Powder,14.8,3.1,Cash,32,Orange
268,64,Male,Gatorade No Sugar,4.8,3.9,Venmo,42,Tropical
269,68,Male,Gatorade No Sugar,4.8,2.6,Venmo,21,Blue Bolt
270,68,Male,G Active-No Sugar,7.8,3.3,PayPal,9,Orange
271,33,Male,Gatorade Sports Drink,3.8,4.6,Debit Card,16,Orange
272,65,Male,G Active-No Sugar,7.8,4.6,Credit Card,42,Tropical
273,48,Male,G Active-No Sugar,7.8,4.4,PayPal,37,Blue Bolt
274,69,Male,Gatorade Sports Drink,3.8,4.2,Cash,32,Berry
275,59,Male,G Active-No Sugar,7.8,3,Credit Card,28,Orange
276,48,Male,G Active-No Sugar,7.8,4,Debit Card,13,Blue Bolt
277,25,Male,Gatorade No Sugar,4.8,3.5,Debit Card,11,Grape
278,29,Male,Gatorade No Sugar,4.8,3,Credit Card,36,Lemon-Lime
279,57,Male,Gatorade Powder,14.8,3.7,Bank Transfer,23,Berry
280,23,Male,G Active-No Sugar,7.8,4,Credit Card,37,Orange
281,45,Male,Gatorade Powder,14.8,4.2,Debit Card,21,Berry
282,38,Male,Gatorade Powder,14.8,2.5,Bank Transfer,22,Orange
283,21,Male,Gatorade Powder,14.8,3,Debit Card,9,Berry
284,32,Male,Gatorade Powder,14.8,3.2,Debit Card,16,Blue Bolt
285,63,Male,Gatorade Powder,14.8,3.5,PayPal,4,Tropical
286,29,Male,G Active-No Sugar,7.8,4.8,Credit Card,3,Grape
287,27,Male,Gatorade No Sugar,4.8,2.6,Cash,6,Berry
288,56,Male,Gatorade Powder,14.8,3.4,Cash,18,Tropical
289,30,Male,Gatorade No Sugar,4.8,3.7,Credit Card,34,Tropical
290,49,Male,G Active-No Sugar,7.8,4.5,Debit Card,26,Tropical
291,58,Male,Gatorade Powder,14.8,3.7,Bank Transfer,50,Orange
292,57,Male,Gatorade Sports Drink,3.8,3.3,Credit Card,40,Blue Bolt
293,60,Male,G Active-No Sugar,7.8,4.7,Credit Card,24,Grape
294,69,Male,G Active-No Sugar,7.8,2.7,PayPal,33,Grape
295,70,Male,Gatorade No Sugar,4.8,4.6,Cash,19,Lemon-Lime
296,53,Male,G Active-No Sugar,7.8,2.7,Venmo,24,Berry
297,25,Male,Gatorade Powder,14.8,4.8,PayPal,19,Blue Bolt
298,48,Male,G Active-No Sugar,7.8,4.4,Bank Transfer,4,Grape
299,69,Male,Gatorade Powder,14.8,4,Cash,11,Berry
300,25,Male,Gatorade Sports Drink,3.8,3.2,Credit Card,28,Orange
301,29,Male,Gatorade No Sugar,4.8,4.4,Cash,24,Orange
302,46,Male,Gatorade Sports Drink,3.8,3.8,Debit Card,25,Berry
303,37,Male,Gatorade Sports Drink,3.8,3.6,Venmo,27,Berry
304,20,Male,Gatorade Sports Drink,3.8,3.3,Cash,49,Tropical
305,40,Male,Gatorade No Sugar,4.8,3.4,Venmo,45,Orange
306,60,Male,Gatorade No Sugar,4.8,3.5,Debit Card,26,Lemon-Lime
307,26,Male,Gatorade Sports Drink,3.8,3.6,Debit Card,4,Blue Bolt
308,29,Male,G Active-No Sugar,7.8,3.2,Cash,3,Blue Bolt
309,66,Male,Gatorade Sports Drink,3.8,3.7,Bank Transfer,45,Grape
310,66,Male,Gatorade No Sugar,4.8,4.5,Bank Transfer,21,Blue Bolt
311,56,Male,G Active-No Sugar,7.8,4.6,Debit Card,50,Tropical
312,69,Male,Gatorade Sports Drink,3.8,4.1,Debit Card,19,Blue Bolt
313,38,Male,Gatorade Powder,14.8,3.4,Bank Transfer,6,Orange
314,42,Male,Gatorade Sports Drink,3.8,3.7,PayPal,50,Lemon-Lime
315,30,Male,Gatorade No Sugar,4.8,3.3,PayPal,17,Blue Bolt
316,66,Male,G Active-No Sugar,7.8,4.5,Venmo,24,Berry
317,36,Male,Gatorade Powder,14.8,3.3,Bank Transfer,46,Orange
318,58,Male,Gatorade No Sugar,4.8,4.3,Bank Transfer,42,Berry
319,45,Male,G Active-No Sugar,7.8,2.5,PayPal,10,Tropical
320,47,Male,Gatorade No Sugar,4.8,2.6,Venmo,1,Tropical
321,66,Male,Gatorade Powder,14.8,4.9,PayPal,28,Berry
322,41,Male,Gatorade No Sugar,4.8,4.7,Credit Card,48,Lemon-Lime
323,41,Male,Gatorade No Sugar,4.8,3,Credit Card,47,Berry
324,66,Male,G Active-No Sugar,7.8,3.5,Venmo,29,Orange
325,37,Male,Gatorade Sports Drink,3.8,4.8,Credit Card,37,Orange
326,70,Male,Gatorade Sports Drink,3.8,4.3,Debit Card,38,Tropical
327,62,Male,Gatorade Sports Drink,3.8,3.2,Cash,48,Tropical
328,61,Male,Gatorade Powder,14.8,3.1,PayPal,36,Blue Bolt
329,48,Male,Gatorade No Sugar,4.8,2.8,Debit Card,9,Orange
330,70,Male,Gatorade Sports Drink,3.8,2.9,Debit Card,34,Lemon-Lime
331,46,Male,Gatorade Sports Drink,3.8,3.7,Bank Transfer,43,Berry
332,31,Male,G Active-No Sugar,7.8,3.3,Credit Card,46,Orange
333,19,Male,Gatorade No Sugar,4.8,2.8,Cash,5,Grape
334,39,Male,Gatorade Sports Drink,3.8,4.5,Cash,15,Berry
335,41,Male,G Active-No Sugar,7.8,2.6,PayPal,30,Berry
336,20,Male,Gatorade No Sugar,4.8,3.7,Cash,44,Berry
337,36,Male,Gatorade No Sugar,4.8,4.4,Debit Card,16,Blue Bolt
338,32,Male,G Active-No Sugar,7.8,4.3,Cash,16,Blue Bolt
339,69,Male,G Active-No Sugar,7.8,3.5,Venmo,16,Blue Bolt
340,40,Male,Gatorade No Sugar,4.8,3.8,Credit Card,21,Lemon-Lime
341,40,Male,Gatorade No Sugar,4.8,3.5,Cash,39,Blue Bolt
342,20,Male,Gatorade No Sugar,4.8,4.6,Credit Card,40,Orange
343,64,Male,G Active-No Sugar,7.8,2.6,Bank Transfer,48,Orange
344,27,Male,Gatorade Powder,14.8,4.4,Cash,26,Orange
345,24,Male,Gatorade Powder,14.8,4,PayPal,46,Orange
346,48,Male,Gatorade Sports Drink,3.8,4.4,Cash,27,Tropical
347,49,Male,Gatorade Powder,14.8,4.7,Credit Card,5,Grape
348,36,Male,Gatorade No Sugar,4.8,3.9,Credit Card,43,Orange
349,56,Male,Gatorade Sports Drink,3.8,2.7,Bank Transfer,17,Berry
350,37,Male,Gatorade Sports Drink,3.8,3.7,Cash,3,Grape
351,42,Male,Gatorade No Sugar,4.8,2.6,Venmo,47,Lemon-Lime
352,28,Male,Gatorade No Sugar,4.8,3.9,Cash,24,Tropical
353,27,Male,Gatorade Powder,14.8,4.9,Venmo,12,Lemon-Lime
354,63,Male,Gatorade No Sugar,4.8,4.1,Credit Card,35,Grape
355,58,Male,Gatorade Powder,14.8,3,PayPal,42,Blue Bolt
356,37,Male,Gatorade No Sugar,4.8,4.1,Credit Card,1,Berry
357,56,Male,Gatorade No Sugar,4.8,3.8,Debit Card,27,Orange
358,18,Male,Gatorade No Sugar,4.8,4,Bank Transfer,16,Lemon-Lime
